timepoint,BA.5.2,XBB.1,BF.7,BA.5.9,BA.5,BN.1.3.1,BN.1.3.3,BQ.1.1.5,BN.1,BQ.1,BA.5.1,BA.5.2.1,BF.14,BF.11,BF.7.9,BQ.1.31,BA.5.2.20,BF.7.6,BF.32,BQ.1.1.46,BA.2.3.20,XBP,BN.1.3,BN.1.2.3,XBB.1.3,CT.1,B.1,BE.1.1,BQ.1.22,BA.5.11,XBB.1.9,B,BE.1,BA.5.1.22,BA.5.1.5,BA.2.75.1,BA.2.23,BA.5.1.23,BN.2,XAS,BA.2.87,BA.2.9,BA.2.12.1,BA.5.3,BA.4.8,BA.2.36,XT,B.1.1.529,BQ.1.1,XBB,BF.7.5,BQ.1.1.15,BQ.1.3.2,FB.1,BF.7.4,BF.7.22,BF.7.24,BA.1.1,BA.2.16,BA.1.17.2,BA.1,BA.1.1.1,BA.1.18,BY.1.1,BA.2.75.5,BF.5,BA.5.1.30,BF.17,BA.2.75.6,BA.5.2.58,BN.4,BA.5.1.11,BA.5.2.26,XAJ,BA.4,BF.12,BF.1,BA.5.5,BA.4.1,BE.1.4,BA.2.12,BA.5.1.3,BF.4,BL.1,CR.1,BA.5.2.22,BM.1.1.3,BA.5.1.28,BF.7.1,BA.4.1.2,CB.1,BF.3,B.11,BA.1.17,BA.2.3.10,XAR,BA.2.3,BA.5.2.52,B.1.617.2,AY.43,AY.46.6,BA.2.56,BZ.2,BE.1.1.2,BQ.1.1.76,CH.1.1,BQ.1.10,BQ.1.1.18,XBF,BQ.1.1.7,BQ.1.23,BA.2.73,BQ.1.1.3,others,sample_name,tool_name
23,,,,,,,,,,,0.07,0.03,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,0.08,,,,0.35,0.18,0.15,0.03,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-23,freyja_v1.5.3
25,0.06,,,,0.03,,,,,,0.16,0.05,,,,,,,,,,,,,,,,0.12,,,,,0.03,0.04,,,0.08,,,0.13,,0.06,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,0.03,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-25,freyja_v1.5.3
27,0.05,,,,0.09,,,,,,0.24,0.1,0.05,,,,,,,,,,,,,,,0.14,,,,,0.04,,,,0.06,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.04,0.03,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-27,freyja_v1.5.3
29,0.09,,,,0.23,,,,,,0.21,0.09,0.06,,,,,,,,,,,,,,,0.09,,,,,0.02,,,,0.07,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.04,,0.02,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-29,freyja_v1.5.3
31,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-31,freyja_v1.5.3
34,0.2,,0.03,,0.07,,,,,,0.19,0.16,0.11,,,,,,,,,,,,,,,0.08,,,,,0.04,0.03,0.03,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-34,freyja_v1.5.3
36,0.24,,0.02,,0.02,,,,,,0.21,0.17,0.11,,,,0.02,,,,,,,,,,,0.05,,,,,,,,,0.01,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,,,,,,,,,0.03,freyja_v1.5.3-36,freyja_v1.5.3
38,0.26,,0.04,0.03,0.03,,,,,,0.2,0.13,0.11,,,,0.02,,,,,,,,,,,0.05,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.06,freyja_v1.5.3-38,freyja_v1.5.3
40,0.2,,0.04,,0.02,,,,0.04,,0.19,0.08,0.03,,,,0.02,,,,0.07,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.06,0.05,0.03,0.03,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-40,freyja_v1.5.3
42,0.19,,0.02,0.02,0.05,,,,0.09,,0.04,0.04,0.05,,,,,,,,0.15,,0.02,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.04,0.04,0.03,0.03,0.03,0.03,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v1.5.3-42,freyja_v1.5.3
45,0.14,0.06,0.11,0.04,,,,,,0.04,0.11,0.09,0.08,,,,0.04,0.01,,,,,0.06,,,0.02,,,,0.02,,,,,,,,,,0.03,,,,,,,,,0.06,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-45,freyja_v1.5.3
47,0.12,0.11,0.09,0.07,0.07,0.06,0.05,0.05,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-47,freyja_v1.5.3
49,0.08,,0.11,,0.03,,,,0.03,0.11,0.03,0.03,0.05,0.02,,,,0.01,,,,0.01,0.03,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,0.2,0.06,0.04,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-49,freyja_v1.5.3
51,0.04,,0.17,,,,,,0.02,0.05,,,0.04,0.03,,,,,,,,,,0.01,0.02,,,,0.02,0.02,,,,,,,,,,0.01,,,,0.02,,,,,0.2,0.01,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.04,0.03,0.03,0.02,0.02,0.02,0.02,0.02,freyja_v1.5.3-51,freyja_v1.5.3
