timepoint,BA.5,BA.5.1,BA.5.1.10,BA.5.2,BA.5.2.1,BA.5.9,BE.1.1,BF.11.3,BF.14,BF.5,BF.7,BF.7.22,BF.7.24,BF.7.4,BF.7.5,BF.7.6,BN.1.2,BN.1.3,BN.1.3.1,BQ.1,BQ.1.1,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,BQ.1.5,CH.1.1,XBB,XBB.1,XBF,BA.2.3.20,BF.7.19,BF.7.9,BN.1.3.3,BQ.1.1.7,BQ.1.10,BA.5.2.20,BF.11,BA.2,BA.2.12.1,BA.2.3,BA.2.56,BA.2.9,BA.4,BA.4.1.2,BA.2.75.2,BA.2.75.5,BA.4.6,BA.5.1.30,BA.5.1.5,BA.5.2.58,BA.5.2.6,BM.1.1.3,BN.1,BR.3,BA.2.13,BA.4.1,BA.5.1.22,BA.5.1.23,BA.5.5,BE.1,BE.1.4,BF.1,BA.1,BA.1.1,BA.1.1.1,BA.1.15,BA.1.17,BA.1.17.2,BA.2.36,BA.5.3,BA.2.75.1,BA.5.1.2,BA.5.2.26,BA.5.2.27,BA.5.2.3,BE.1.1.2,BM.1.1,B.1.617.2,BN.2,AY.43,AY.46.6,BA.1.18,BA.1.20,B.1.1.529,BQ.1.1.23,XBB.2,BA.5.1.3,BL.1,CM.5,BF.12,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
25,0.03,0.17,,0.05,0.05,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.04,,0.05,0.06,0.04,,,,,,,,,,,,,0.04,0.03,,,0.02,0.02,0.03,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,simul-25,simulation,Ex16_01_realTimecourse_simul-25,2022-06-15,1496.869377654416,1240.9266285824015,97.31130655787045,59.9999
27,0.11,0.23,,0.06,0.08,,0.13,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.06,,0.03,,0.02,,,,,,,,,,,,,0.02,0.01,,0.02,0.04,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,simul-27,simulation,Ex16_01_realTimecourse_simul-27,2022-06-29,1499.294217971441,1334.468892049159,96.82306123131458,59.9999
29,0.28,0.17,,0.07,0.08,,0.09,,0.08,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,0.03,,0.02,,,,,,,,,,,,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex16_01_realTimecourse_simul-29,2022-07-13,1503.443667859412,1264.0003606831713,96.58228271410894,59.9999
31,0.03,0.22,,0.13,0.13,,0.1,,0.14,0.02,0.02,,,,,,,,,0.02,,,,,,,,,,,0.01,,,,,,,,,0.06,,,,0.01,,,,,,,,,,,,,,0.01,0.01,0.01,,0.02,,,,0.02,,,,,,,0.02,,,,,0.02,,,,,,,,,0.01,,,,,,simul-31,simulation,Ex16_01_realTimecourse_simul-31,2022-07-27,1472.4827274855365,1283.412194857858,93.28161054074842,59.9999
34,0.07,0.2,,0.19,0.14,,0.08,,0.12,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,0.02,,,,,,,,,,,0.03,,,,,,,,0.02,0.01,,0.02,,,,,,,,,,,0.02,,,,,0.01,,,0.01,,,,,,,,,,,,simul-34,simulation,Ex16_01_realTimecourse_simul-34,2022-08-17,1503.1457378858308,1209.159619590784,94.01397853058222,59.9999
36,0.02,0.19,,0.26,0.17,,0.06,,0.12,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,,,,,,0.01,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.02,,0.03,0.02,,,,,,,,,,,,,,,simul-36,simulation,Ex16_01_realTimecourse_simul-36,2022-08-31,1503.4701534963046,1152.5698888321838,97.17754071497843,59.9999
38,0.02,0.18,,0.26,0.1,0.03,0.05,,0.13,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,,,,,,,,,,,0.01,,0.01,0.01,,,,,,,,,,0.02,0.01,0.02,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,simul-38,simulation,Ex16_01_realTimecourse_simul-38,2022-09-14,1503.744406915694,1193.6391772373365,96.52877637695214,59.9999
40,0.01,0.17,,0.21,0.1,0.02,0.02,,0.03,0.03,0.04,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,0.02,,0.02,,,,,,,0.04,0.07,0.01,0.02,0.01,0.01,0.01,0.02,0.04,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-40,simulation,Ex16_01_realTimecourse_simul-40,2022-09-28,1499.9299401397852,1124.1136063795518,97.17085242283383,59.9999
42,0.02,0.09,,0.2,0.09,0.03,0.04,,0.06,0.02,0.03,,,,,,,0.02,,,,,,,,,,,,,,0.14,,,,,,,,0.01,,,,,,,,0.02,0.02,,,0.01,0.02,0.03,0.08,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.01,0.02,0.01,,simul-42,simulation,Ex16_01_realTimecourse_simul-42,2022-10-12,1498.631776075979,1142.474811225266,96.27796542152961,59.9999
45,,0.11,,0.14,0.08,0.04,,,0.09,0.03,0.1,,,,,0.02,,0.03,0.02,0.03,0.05,,,,,,0.02,0.02,,0.05,,0.01,,,0.01,,,0.03,0.01,,,,,,,,,,0.01,,0.01,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.01,,,,,simul-45,simulation,Ex16_01_realTimecourse_simul-45,2022-11-02,1501.796575594422,1159.283418754581,94.96706016118785,59.9999
47,0.03,0.04,,0.14,0.06,0.08,,,0.03,,0.06,,,,0.02,0.02,0.04,0.04,0.04,0.07,0.06,,,,,,,0.02,,0.13,,0.02,,0.02,0.05,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex16_01_realTimecourse_simul-47,2022-11-16,1484.9461258067752,1288.758127167676,98.5285757281878,59.9999
49,0.02,0.02,0.01,0.12,0.01,0.01,0.01,0.02,0.06,0.01,0.11,0.01,0.01,0.01,0.03,0.01,0.02,0.02,0.01,0.07,0.18,0.02,0.02,0.01,0.02,0.02,0.02,0.01,0.01,0.05,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-49,simulation,Ex16_01_realTimecourse_simul-49,2022-11-30,1497.6498679062302,1350.9513256662294,97.27452095107513,59.9999
51,0.03,0.02,,0.05,,0.01,,0.02,0.05,,0.11,,,0.02,0.02,0.01,0.02,0.01,,0.04,0.27,0.02,0.02,0.02,,,0.02,0.05,0.01,0.03,0.03,0.02,0.02,0.01,0.01,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-51,simulation,Ex16_01_realTimecourse_simul-51,2022-12-14,1496.3965488412534,1251.7558600565321,95.5322208474066,60
