timepoint,Q.8,B.1.1.431,Q.6,AY.71,Q.7,AY.39.2,Q.1,Q.2,B.1.1.7,Q.4,AY.74,AY.46.4,B.1.1.427,B.1.350,AY.23.2,AY.24,AY.26,AY.106,AY.45,AY.66,AY.129,AY.47,B.1.617.2,AY.46.5,AY.6,AY.4.1,AY.57,AY.23.1,AY.88,B.1.415.1,P.1.16,AY.11,P.1.12,P.1,B.1.544,B.1.1.86,B.1.120,B.1.1.286,XBB.1.5.22,B.1.351,BA.5.2.32,B.1.351.3,B.1.351.2,AY.55,AY.90,AY.80,AY.4,BA.1.1.1,B.1.214.1,B.1.1.413,DB.3,B.28,B.1.1.193,FT.1,B.1.36,P.1.1,B.1.1.219,B.1.1.500,B.1.110.3,B.1.621,B.1.474,B.1.600,B.1.428,B.1.243,B.1.177.42,B.53,D.4,B.1.131,AY.34.1.1,B.1.164,FY.1,AY.58,B.1.263,BQ.1.1.26,B.1.1.271,BN.1.4,others,sample_name,tool_name
289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.69,,,0.07,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,0.01,,,,0.03,,,,,,,,,0.19,vlq_vd04ad36-289,vlq_vd04ad36
305,,,,0.01,,0.05,,,,,,,,0.09,,,,,0.07,,,,,,,,,,,0.03,0.2,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,vlq_vd04ad36-305,vlq_vd04ad36
31,0.01,,,,0.11,,0.44,,0.11,0.11,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-31,vlq_vd04ad36
320,,,,,,,,,,,0.02,0.01,,,0.01,0.01,0.01,0.01,,0.02,,0.01,0.2,,0.01,0.01,,0.01,,,,0.06,,,,,,,,,,,,,,0.01,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq_vd04ad36-320,vlq_vd04ad36
335,,,,,,,,,,,0.01,,,,,0.03,,,,,,0.01,,0.01,0.02,,0.02,,,,,0.03,,,,,,,,,,,,0.1,0.03,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,,,,,,,0.69,vlq_vd04ad36-335,vlq_vd04ad36
350,,,,,,,,,,,0.06,,,,,0.01,,,,,,,,0.01,0.01,0.03,,,0.01,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.61,vlq_vd04ad36-350,vlq_vd04ad36
366,,,,,,,,,,,0.02,,,,,0.02,,,,,0.01,0.02,,,0.01,,,,,,,0.02,,,,,,,,,,,,0.32,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,0.01,,,,,0.55,vlq_vd04ad36-366,vlq_vd04ad36
46,0.03,,0.01,,0.12,,0.63,0.02,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,vlq_vd04ad36-46,vlq_vd04ad36
61,0.07,,0.02,,0.02,,0.08,0.01,0.03,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16,vlq_vd04ad36-61,vlq_vd04ad36
77,,,0.01,,0.12,,0.64,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19,vlq_vd04ad36-77,vlq_vd04ad36
92,0.01,,0.02,,0.02,,0.66,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.17,vlq_vd04ad36-92,vlq_vd04ad36
