timepoint,BA.2.87,BA.2.12.1,BA.2.11,BA.2.23,BA.5.1.3,BA.5.1,BE.1,BA.4,BA.2.36,BF.4,BA.5.2.1,B.1,BA.5.2,BA.2,BA.5.3,BE.1.1,BF.14,BA.5,BF.7,BA.5.1.23,BF.12,BA.2.3.20,BN.1,BA.2.75.5,BM.1.1.3,BA.5.9,CR.1,BF.30,BL.1,BF.3,BN.1.3,BF.32,BA.5.2.54,BF.11,BA.5.2.57,BA.5.11,BF.1,BA.5.5,BA.1.1,BA.2.16,BA.1,BA.1.1.1,BA.1.17.2,BA.2.56,BA.2.3.10,B.1.76,BA.1.18,BA.4.6,BM.1,BA.5.2.52,BA.2.75.1,BF.7.1,BA.5.2.20,BA.5.2.6,BF.2,BA.5.2.26,BY.1.1,BQ.1.1,BQ.1,XBB.1,BQ.1.3.2,FB.1,BF.7.6,BF.7.4,BQ.1.31,BQ.1.1.46,CB.1,BA.2.9,XAA,B.1.617.2,BA.1.17,AY.43,AY.106,BA.2.3.21,BN.1.3.1,BN.1.3.3,XBB.2,XBB,BN.1.2,BN.1.9,BQ.1.22,XBB.4,CT.1,XBU,XAJ,BQ.1.1.44,XAS,BA.4.1.2,BA.2.12,BA.4.1,BE.1.4,AY.79,BF.39,BF.6,BF.5,BA.5.2.3,BA.4.8,BA.5.2.2,BE.1.1.2,BA.5.1.28,XZ,BA.2.75.6,XM,BA.2.75.2,BA.2.37,BA.5.2.58,BE.1.2,ED.2,CH.1.1,BQ.1.10,BF.7.19,XBF.5,BQ.1.1.3,BF.11.3,BA.2.3,BA.2.3.6,BQ.1.1.5,XBS,others,sample_name,tool_name
23,0.49,0.15,0.1,0.06,0.04,0.04,0.04,0.02,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-23,freyja_v1.5.3
25,,0.04,,0.04,0.1,0.1,0.02,0.04,,0.02,0.02,,0.05,,,0.13,,0.07,,,,,,,,,,,,,,,,,,,0.03,,,0.2,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,0.04,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-25,freyja_v1.5.3
27,,0.05,,0.06,,0.26,0.02,0.01,,,0.09,,0.07,,,0.15,0.06,0.11,,,0.03,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,freyja_v1.5.3-27,freyja_v1.5.3
29,,,,0.06,0.09,0.09,0.01,0.06,,0.05,0.05,,0.08,,,0.09,0.07,0.27,,0.01,,,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-29,freyja_v1.5.3
31,,,,0.05,,0.22,0.03,,,,0.05,,0.12,,,0.09,0.11,0.04,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.05,0.02,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-31,freyja_v1.5.3
34,,,,0.03,,0.25,,,,,0.17,,0.2,,,0.11,0.1,0.08,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-34,freyja_v1.5.3
36,,,,0.01,,0.21,0.01,,,,0.07,,0.23,,,0.05,0.1,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,0.07,0.04,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,0.05,freyja_v1.5.3-36,freyja_v1.5.3
38,,,,,0.1,0.1,0.01,,,0.06,0.06,,0.27,,,0.06,0.11,0.02,0.01,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v1.5.3-38,freyja_v1.5.3
40,,,,,,0.16,,,,,0.13,,0.2,,,0.01,0.03,0.02,0.03,,,0.07,0.04,0.06,0.01,0.02,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.04,,,,0.04,0.02,0.01,0.01,,,,,,,,,,,,0.03,freyja_v1.5.3-40,freyja_v1.5.3
42,,,,,,0.1,,0.02,,,0.04,,0.18,,,0.04,0.05,0.04,0.03,,,0.15,0.06,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-42,freyja_v1.5.3
45,,,,,,0.12,,,,,0.07,,0.15,,,,0.09,0.01,0.1,,,,,,,0.03,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.04,0.05,,,0.03,,,,,,,,,,,,0.04,,,,,,,,0.02,0.02,0.01,0.01,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,0.04,0.01,0.04,freyja_v1.5.3-45,freyja_v1.5.3
47,,,,,0.02,0.02,,,,0.01,0.01,,0.17,,,,0.03,0.01,0.05,,,0.01,,,,0.08,,,,,0.02,,,0.02,,,,,,,,,,,,,,,,,,0.05,,,,,,,0.05,0.04,,,0.02,,0.02,0.02,0.01,,,,,,,,0.05,0.04,0.04,0.04,0.03,0.03,0.02,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v1.5.3-47,freyja_v1.5.3
49,,,,,,0.03,,,,,0.01,,0.13,,0.01,,0.06,,0.16,,,,0.02,,,,,,,,0.04,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,0.24,0.09,0.06,0.02,0.02,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,freyja_v1.5.3-49,freyja_v1.5.3
51,,,,,,0.02,,,,,,,0.04,,,,0.05,0.05,0.16,,,0.02,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.01,,,,0.02,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32,0.05,0.03,0.03,0.02,0.02,0.02,,,,,0.05,freyja_v1.5.3-51,freyja_v1.5.3
