timepoint,BA.5.3.4,BF.14,BA.5.10,BA.5.2.4,BA.5.1.37,BA.5.1.20,BA.5.2.23,BA.5.6.3,BA.5.2.10,BA.5.2.26,BA.5.2.9,BA.5.2,BA.5.9,BA.5.11,BA.5.1.28,BE.3,BE.13,BA.5.3.5,BA.5.1.18,DE.2,BF.1,BE.1,BE.1.4.1,BE.1.3,BE.1.4.4,BE.1.2,BE.1.1,BE.1.4,BE.1.2.1,BA.5.5.3,BA.1.1.4,BA.1.1.18,BA.1.15.1,BA.1.14.1,BA.1.14.2,BA.1.17.1,BA.1.17.2,BA.1.8,BA.1.15.2,BA.1.15.3,BA.1.1.2,BA.1.1.9,BA.1.15,BA.1.1.7,BA.1.1.10,XP,BA.1.1.15,BA.1.1.8,BA.1.1.12,BA.1.1.11,BA.1.1.6,BA.1.1.14,BA.1.18,BA.1.1,BA.1.17,BA.1.6,BA.1.1.17,BA.1.1.3,BA.1.13,BA.1.12,BA.1.7,BA.1.10,XF,BA.1.5,BA.1.19,BA.1.9,BA.1.14,BA.1.13.1,AY.43.8,AY.43.2,AY.43.4,AY.43.3,AY.43.7,AY.43.1,AY.43.6,XM,XAQ,B.1.617.2,BA.2.43,BA.2.16,B.1.1.529,XCA,XH,XBT,XR,XAA,XQ,XAS,XN,BA.2.15,BA.2.23,BA.2.23.1,BA.5.10.1,DF.1,DF.1.1,BF.17,XBK,XBQ,BA.4.8,BA.4.1.2,BA.4.1.3,BA.4,BA.4.1.5,BA.4.1.6,BA.4.2,BA.4.1,BA.4.1.10,CS.1,BA.4.4,XY,BA.4.5,BA.4.3,BA.4.6,BA.4.1.8,BA.4.1.1,BA.4.1.9,BA.4.1.4,BA.2.19,XJ,XAL,XV,XAB,AY.48,BA.1.20,BA.1.21.1,BA.1.21,BA.1,BC.2,XS,BA.1.1.16,BA.1.1.1,XW,XAU,BA.3.1,BA.3,B.1.1.207,B.1.1.351,XAY.1,XAY.3,XAY.2,XAY.1.1,XAY,XBK.1,XAF,XBB.1.5.41,DW.1,XE,XBZ,XBB.1.5.8,BA.1.3,BA.1.16,BA.1.4,BA.1.23,BA.1.16.1,BA.1.1.5,others,sample_name,tool_name
23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,0.02,,,,,,,,,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.45,freyja-23,freyja
25,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.11,,,,,,,0.71,freyja-25,freyja
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja-27,freyja
29,,,0.02,0.02,,,0.02,,0.02,0.02,0.02,0.02,,0.02,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.71,freyja-29,freyja
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.11,0.11,0.11,0.11,0.01,,,,,,,,,,,,,0.43,freyja-31,freyja
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,0.11,,,,,,,,,,,,,,,,,,,,,,,0.11,,,0.11,,,,,,,,,0.43,freyja-34,freyja
36,0.11,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,freyja-36,freyja
38,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja-38,freyja
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja-40,freyja
42,,,,,,,,,,,,,0.03,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,,,0.1,0.02,,,,,,,,,,,0.61,freyja-42,freyja
45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja-45,freyja
47,,0.03,0.01,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,0.83,freyja-47,freyja
49,,0.07,,,0.01,0.01,,0.01,,,,,,0.01,0.01,,0.01,0.01,0.01,0.01,,,,,,0.03,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,0.69,freyja-49,freyja
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.93,freyja-51,freyja
