timepoint,BA.1.18,XAG,BA.5.1.4,B.1.214.3,B.1.1.529,BN.1.3.7,XBB.2.2,BM.2,BQ.1.1.17,XAW,BF.11.4,BQ.1.2.1,B.1.227,BQ.1,BA.5.2.14,BF.13,BA.5.2.57,BA.2.75.10,BA.5.2,AY.30,BA.1.20,BA.1.17,Q.6,AY.71,XAH,AY.7.1,BA.1.1.15,B.1.640,AY.7,BA.2.9.1,BA.1.10,AY.25,AY.46.5,B.1.617.1,BA.1.14,BA.2.16,AY.59,BA.1.6,B.1.1.355,BA.1.1.8,B.1.387,C.1,B.1.470,AY.43.9,B.1.1.243,B.4,B.1.466.1,B.1.575.1,B.1.1.374,C.17,B.1.1.420,B.1.534,B.1.177.21,B.1.1.159,B.1.1.204,B.1.1.451,B.1.177.33,B.1.111,B.1.177.64,B.1.2,A.28,B.1.1.429,B.1.36.35,CH.1.1.20,XBC.1.1,BF.7.14.5,CN.2,CH.1.1.7,CM.6.1,XBC.1.2,D.4,BF.20,DL.1,BA.1.1.14,BA.1.24,BA.5.2.28,AY.42,BA.1.1.11,BA.2.3.14,BA.2.3.10,BA.1.1.18,AY.125.1,AY.4.3,AY.122.4,BA.1.1.4,BA.1.17.2,AY.123.1,AY.4.1,AY.125,BA.1.4,BA.1.1.3,BA.1.1.16,BA.1,BA.1.16,BA.1.13,BA.1.1.7,BA.1.22,AY.27,B.1.1.519,AY.84,AY.2,BA.2.19,EA.2,CM.8.1.2,BE.1.4.2,CH.1.1.28,BQ.1.33,BW.1.1.1,CM.10,BQ.1.1.28,XBB.4,BY.1.1.1,BQ.1.1.47,BE.1,BE.7,BA.5.1.28,DM.1,BQ.1.1.21,BQ.1.1.72,BA.4.6.2,BQ.2,BA.4.6.3,BL.1.4,BR.3,BQ.1.14,BF.7.12,BN.1,BL.2,BA.5.1.18,BA.2.9.7,BA.2.78,BA.2.13.1,BA.5.3.4,BA.4.3,BA.2.73,BA.2.9.4,BA.1.19,AY.75,BB.1,BF.17,BA.5.1.31,BF.7.13,P.1.1,B.1.525,B.1.480,P.6,XBB.2.3.8,XBB.2.3.11,EG.5,XBB.1.28.1,XBB.1.16.2,FY.2,FR.1,XBB.1.5.40,FN.1,XBB.1.5.2,BY.1.1,EW.1,BQ.1.1.64,CH.1.1.23,XBR,XBB.1.38,BF.24,BF.27,BA.5.5.2,BA.5.1.16,BF.36,BF.5,BA.5.9,BN.1.3.5,CK.2,CT.1,B.1.1.427,BQ.1.5,BA.5.2.53,B.1.157,BA.5.2.36,BF.7.24,BA.5.2.59,BF.4,BA.5.3.2,BA.2.39,B.1.1.325,AZ.5,A.30,B.1.1.404,B.1.1.430,B.1.1.301,B.1.1.222,B.1.1.435,B.1.1.286,B.1.1.219,B.1.177.83,B.1.1.415,FV.1,FL.1.2,EU.1.1,DV.4,XBB.1.5.57,XBB.1.5,DT.1,B.1.1.394,CH.1.1.9,XBM,B.1.1.31,B.1.1.178,BF.14,BA.5.2.7,BA.5.1.26,BA.5.2.24,B.1.1.220,B.1.1.100,FA.2,CR.1,BQ.1.23,DC.1,B.1.416,BF.7.10,BA.5.2.3,BA.5.3,BA.2.57,BF.3.1,B.1.632,BA.5.2.5,B.1.1.5,B.1.523,DN.1.1.2,DY.3,BA.5.2.63,B.1.1.75,BF.7.6,XAK,B.1.398,EG.1.4,AY.120.2.1,AY.80,B.1.78,B.1.1.431,BA.2.75.5,BF.23,AY.4.2.2,B.1.221.4,FD.1.1,B.1.362.1,BA.2.28,BR.5,CH.1.1.2,B.1.36.23,CD.2,CU.1,B.1.1.425,BQ.1.16,BA.2.75.4,BA.2.10.4,BA.2.44,AY.103,B.1.36.16,B.1.1.10,P.1.12,B.1.218,B.1.1.379,XBB.1.22.2,FK.1.2,BQ.1.27,XBF.7,BN.1.10,BA.5.2.10,BQ.1.31,BF.11.2,BH.1,BF.11.5,BL.4,BA.5.2.37,BA.5.2.29,BF.1.1,BA.5.8,BA.5.7,XBB.1.5.50,XBT,ED.1,CR.1.3,BF.21,XAR,BA.5.2.32,BA.4.1.2,BA.2.10.3,BA.5.2.48,BF.26,BA.5.5.1,CZ.2,B.1.626,BA.2.10,AY.50,BN.1.3.10,BQ.1.1.34,B.1.120,BE.3,BF.7.19.1,BN.1.2,DB.2,B.1.1.267,BA.2.60,BA.2.54,B.1.221,A.21,B.1.439,AK.2,B.1.160.30,B.1.1.231,EL.1,FT.1,EK.4,BQ.1.1.54,B.1.332,BF.38,BQ.1.13.1,CP.3,CV.1,BN.1.2.1,CP.1.1,BA.2.52,B.1.151,B.1.471,B.1.1.253,AT.1,B.1.1.141,B.1.1.61,C.19,B.1.596,B.1.1.422,XBB.2.3.5,FD.1,XBB.2.3.1,XBB.1.17.2,BQ.1.1.60,BA.2.40,CH.1.1.25,XBN,CP.2,B.1.208,BA.5.6.4,BA.2.41,BA.2,B.1.1.25,DY.2,XBB.1.5.52,CH.1.1.6,B.1.1.395,B.1.460,XBB.1.14,BN.3.1,BQ.1.1.23,B.1.1.279,BL.3,B.1.177.65,B.1.160.8,XBF.9,B.1.1.421,BF.11.3,AH.2,B.1.160.23,B.1.618,BE.1.3,BQ.1.1.11,BR.1.2,BQ.1.1.3,BA.3.1,B.1.1.434,B.1.160.25,FL.6,XAY.2.2,XBB.1.35,BA.5.2.19,BA.5.1.25,XBF.7.1,XBB.1.4.1,XBS,CH.1.1.27,CH.1.1.12,XBL.1,B.1.36.1,XBB.1.5.44,XU,B.1.1.83,B.1.1.198,B.1.1.189,XBB.1.5.60,BQ.1.11,B.1.427,W.1,BE.1.1.1,BQ.1.26.2,AY.4.6,B.1.621.1,XA,XBC.1.6,BQ.1.1.53,others,sample_name,tool_name
23,,0.02,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,,,,,,,,0.01,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.03,0.02,,,0.01,,0.01,,0.2,0.06,0.02,,,0.01,,,0.02,,0.02,0.02,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,vlq-23,vlq
25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,0.02,0.03,,0.03,,0.02,0.02,0.02,0.02,,,,,,,,,,0.04,0.01,0.02,,0.01,,,0.03,0.01,0.02,,,0.01,0.01,0.02,0.01,,0.01,,,,0.01,,,0.01,0.03,,,,,0.01,,,,0.02,,0.02,,,,,,0.03,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.42,vlq-25,vlq
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.03,,,,,,,,,,,,,,,,,,,,,0.08,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.03,,0.03,,0.03,,0.02,0.03,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.23,vlq-27,vlq
29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.02,,0.01,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,vlq-29,vlq
31,,,,,,,,,,,0.01,0.01,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,0.03,,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,0.03,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.02,0.02,0.02,,0.02,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq-31,vlq
34,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,0.02,,,,,,,,,,,,,,,,,0.02,,0.03,0.01,,,,,,,0.02,,,0.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.03,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,0.02,,,,,,,,,0.02,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.04,0.02,,,,,,,,,,,,,,,,,,,0.01,,,,0.02,0.01,0.02,0.01,,,,,,,,,,,,0.29,vlq-34,vlq
36,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,0.01,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,0.48,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,0.01,,,,0.01,,,0.01,,,,0.02,0.01,,,,,0.01,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.21,vlq-36,vlq
38,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,0.02,,0.2,0.04,0.17,,,0.01,0.02,0.02,0.06,0.02,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,vlq-38,vlq
40,,,,,,,0.02,,,,0.01,,,0.01,,0.03,,0.02,,,,,,,,,,,,,,,,,,0.01,,,0.01,,,,,,,,,0.02,,,,,,0.01,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.02,,,,0.03,,,0.04,,,,0.01,0.02,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,0.01,,,0.01,0.01,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.55,vlq-40,vlq
42,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,0.01,,,,,,,0.03,,,,,0.02,,,,,,,,,,0.04,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,0.02,,,,,,,0.02,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,0.02,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.02,0.02,0.15,0.01,0.02,,0.01,,0.02,,0.02,0.01,,,,,0.01,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,vlq-42,vlq
45,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,0.01,,,,,,0.02,,0.02,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,0.02,0.02,,,,0.01,,0.01,0.02,0.01,0.02,,0.02,,,0.01,,0.02,0.02,0.02,,0.02,,,0.03,0.01,,0.01,,0.02,,0.02,,,,0.01,0.02,0.01,0.06,,0.02,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,vlq-45,vlq
47,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,0.02,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,,,,,,0.03,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,0.04,,,,,,,,,,,,,,0.03,,,,,,,,,,0.01,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.02,,,,0.02,0.03,,,,,,,,,,,,,,,,0.03,0.01,0.02,0.02,0.01,,,0.02,,0.03,,0.03,0.02,,,,,,,,,,,,,,,,,,,,,,,0.26,vlq-47,vlq
49,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,0.03,,,,,,,0.02,0.04,,,,0.03,,,,,,,,,0.06,,,,,,,,,,,,,,,0.03,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.24,,,0.02,,,,,0.04,,,0.03,,0.03,,,,,,,0.03,,,0.03,0.02,,,,0.03,0.02,,,,,,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18,vlq-49,vlq
51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,0.05,,,,,,0.03,,0.04,,,0.03,0.02,0.02,,,,,,,0.04,,0.02,,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,0.4,vlq-51,vlq
