timepoint,AY.43,AY.46.6,B.1.617.2,BA.1,BA.1.1,BA.1.17.2,BA.1.18,BA.1.20,BA.2,BA.2.3.20,BA.5,BA.5.1,BA.5.2,BA.5.2.1,BA.5.2.20,BA.5.9,BF.11,BF.14,BF.7,BF.7.5,BF.7.6,BF.7.9,BN.1.2,BN.1.3,BN.1.3.1,BN.1.3.3,BQ.1,BQ.1.1,CH.1.1,XBB.1,BA.2.12.1,BA.2.36,BA.2.56,BA.2.9,BA.4,BA.5.1.22,BA.5.3,BE.1,BE.1.1,BE.1.4,BA.2.75.1,BA.4.6,BA.5.1.2,BA.5.1.23,BA.5.2.26,BA.5.2.27,BA.5.2.3,BE.1.1.2,BF.5,BM.1.1,BA.2.13,BA.4.1,BA.5.5,BF.1,BA.2.3,BA.4.1.2,BA.1.1.1,BA.1.17,BF.12,B.1.1.529,BA.1.15,BA.2.75.5,BA.5.1.3,BA.5.2.58,BA.5.2.6,BL.1,BM.1.1.3,BN.1,BR.3,CM.5,BA.5.1.5,BQ.1.5,XBB.2,BQ.1.1.23,XBF,BA.5.1.10,BF.11.3,BF.7.22,BF.7.24,BF.7.4,BQ.1.1.15,BQ.1.1.18,BQ.1.1.3,BQ.1.2.1,BQ.1.3.2,XBB,BN.2,BF.7.19,BQ.1.1.7,BQ.1.10,BA.2.75.2,BA.5.1.30,sample_name,tool_name,sample,sample_date,coverage_avg,coverage_sd,uniformity_wg_per,MAPQ_avg
29,,,,,,,,,0.01,,0.28,0.17,0.07,0.08,,,,0.08,,,,,,,,,,,,,0.01,,0.03,,0.02,0.01,,0.01,0.09,0.01,,,,0.01,,,,,0.01,,0.02,0.02,0.01,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-29,simulation,Ex22_03_realTimecourse_simul-29,2022-07-13,1504.4044075845234,12525.730105790833,8.357021034678795,60
31,,,,,0.02,,,,0.06,,0.03,0.22,0.13,0.13,,,,0.14,0.02,,,,,,,,0.02,,,,,,,0.01,,0.01,,0.02,0.1,,0.02,,,0.01,,,,0.02,0.02,,,0.01,,,,,,,,,,,,,,,,,,,,,,0.01,0.01,,,,,,,,,,,,,,,,,,simul-31,simulation,Ex22_03_realTimecourse_simul-31,2022-07-27,1514.5909440524363,12383.358536084468,7.5611142694712905,60
34,,,,,,,,,0.02,,0.07,0.2,0.19,0.14,0.01,,,0.12,0.03,,,,,,,,,,,,,,,,,0.02,,0.02,0.08,,0.02,,,0.01,,,,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,,0.01,,,,,,simul-34,simulation,Ex22_03_realTimecourse_simul-34,2022-08-17,1511.419890980838,8888.4642224943,5.099822760258168,60
36,,,,,,,,,0.02,,0.02,0.19,0.26,0.17,0.02,,,0.12,0.02,,,,,,,,,,,,,,,,,0.02,,,0.06,,,0.01,,,0.02,,0.03,0.02,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-36,simulation,Ex22_03_realTimecourse_simul-36,2022-08-31,1504.5154332341237,13843.240854863034,3.675216533458182,60
38,,,,,,,,,,,0.02,0.18,0.26,0.1,0.02,0.03,,0.13,0.03,,,,,,,,,,,,,,,,,,,0.01,0.05,0.01,0.02,0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-38,simulation,Ex22_03_realTimecourse_simul-38,2022-09-14,1499.168779052269,9561.858855737419,7.123031133999932,59.9998
40,,,,,,,,,0.02,0.07,0.01,0.17,0.21,0.1,0.02,0.02,,0.03,0.04,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,,,,,,,0.03,,,,,,,,,,,,,0.07,,0.01,0.01,,0.02,0.04,0.01,,0.01,,,,,,,,,,,,,,,,,,,,0.04,0.02,simul-40,simulation,Ex22_03_realTimecourse_simul-40,2022-09-28,1508.0127411965354,6775.708081109027,10.641072802059993,59.9997
42,,,,,,,,,0.01,0.14,0.02,0.09,0.2,0.09,,0.03,,0.06,0.03,,,,,0.02,,,,,,,,,,,,,,,0.04,,,0.02,,,,0.02,,,0.02,,,,,,,,,,,,,0.02,0.01,0.01,0.02,0.02,0.03,0.08,0.01,0.01,,,,,,,,,,,,,,,,,,,,,,,simul-42,simulation,Ex22_03_realTimecourse_simul-42,2022-10-12,1502.034511587466,12452.283450512616,8.360365180751096,60
45,,,,,,,,,,0.01,,0.11,0.14,0.08,0.03,0.04,0.01,0.09,0.1,,0.02,,,0.03,0.02,0.01,0.03,0.05,0.02,0.05,,,,,,,,,,,,0.01,,,,0.02,,,0.03,,,,,,,,,,,,,,,,0.02,,,0.02,,,0.01,0.02,0.01,,,,,,,,,,,,,,,,,,,,simul-45,simulation,Ex22_03_realTimecourse_simul-45,2022-11-02,1501.0855098150687,11202.400314019484,11.125973982543558,60
47,,,,,,,,,,0.02,0.03,0.04,0.14,0.06,0.02,0.08,0.02,0.03,0.06,0.02,0.02,0.02,0.04,0.04,0.04,0.05,0.07,0.06,0.02,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,simul-47,simulation,Ex22_03_realTimecourse_simul-47,2022-11-16,1505.0639735143632,9658.36592160674,7.079557235060027,59.9995
49,,,,,,,,,,,0.02,0.02,0.12,0.01,,0.01,,0.06,0.11,0.03,0.01,,0.02,0.02,0.01,,0.07,0.18,0.01,0.05,,,,,,,,,0.01,,,,,,,,,,0.01,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.01,0.01,0.02,0.01,0.01,0.01,0.02,0.02,0.01,0.02,0.02,0.01,,,,,,,simul-49,simulation,Ex22_03_realTimecourse_simul-49,2022-11-30,1491.1040029428486,13758.319930559703,6.193358525900412,60
51,,,,,,,,,,0.02,0.03,0.02,0.05,,,0.01,,0.05,0.11,0.02,0.01,0.01,0.02,0.01,,0.01,0.04,0.27,0.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,0.03,,0.02,,,0.02,0.02,0.02,0.02,,,0.01,,0.02,0.02,0.04,,,simul-51,simulation,Ex22_03_realTimecourse_simul-51,2022-12-14,1516.7234391198208,8480.53187092372,11.75132929806374,60
