timepoint,P.1,AY.16.1,AY.30,AY.15,AY.51,AY.19,AY.17,AY.14,AY.54,AY.8,AY.50,AY.16,AY.13,AY.18,AY.49,AY.60,AY.2,AY.74,AY.72,AY.37,AY.27,AY.56,AY.10,AY.66,AY.67,AY.57,AY.65,AY.71,AY.26,AY.69,AY.59,AY.28,AY.58,AY.9,AY.38,AY.24,AY.61,AY.55,B.1.1.344,B.1.466,B.1.1.28,B.1.411,P.1.17.1,P.1.2,P.1.15,P.1.14,P.1.13,P.1.17,P.1.3,P.1.1,P.1.10,P.1.16,P.1.12,B.1.433,B.1.1.161,B.1.428.1,B.1.1.226,B.1.1.487,AY.26.1,AY.64,AY.75.3,AY.62,AY.70,AY.75,B.1.351.3,B.1.351.2,B.1.351,C.40,B.1.591,B.1.428.2,B.1.530,B.1.482,B.1.131,B.1.214,P.1.12.1,P.1.5,P.1.6,P.1.11,P.1.7.1,P.1.7,P.1.4,B.1.428.3,B.1.474,B.1.214.1,P.1.10.2,P.1.10.1,Q.5,Q.4,Q.1,B.1.1.7,AY.48,AY.47,Q.2,Q.3,AY.52,AY.53,AY.133,AY.9.2.2,AY.9.2.1,AY.9.2,B.1.526,B.1.351.5,B.1.214.3,Q.6,Q.8,Q.7,P.1.8,B.1.177.78,B.1.524,others,sample_name,tool_name
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,0.0,freyja_v2.0.0-153,freyja_v2.0.0
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,freyja_v2.0.0-168,freyja_v2.0.0
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,,0.08,,,,,,,,,,,,0.08,,0.08,,,,,,,,,,,,,0.08,0.08,0.08,,0.08,0.08,,,,,,,,0.08,0.08,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,freyja_v2.0.0-183,freyja_v2.0.0
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,0.12,0.51,freyja_v2.0.0-198,freyja_v2.0.0
213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,freyja_v2.0.0-213,freyja_v2.0.0
229,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,,0.1,,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-229,freyja_v2.0.0
244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,0.06,,,0.03,freyja_v2.0.0-244,freyja_v2.0.0
259,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,,0.07,0.07,,0.07,,0.07,0.07,0.07,0.07,,,,,,,,,,,,,,,,,,,0.04,,,,,,0.07,,0.07,0.07,,,,0.07,0.07,,,,,,,,,,,,,,,,,,,,,,,,0.0,freyja_v2.0.0-259,freyja_v2.0.0
274,0.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-274,freyja_v2.0.0
289,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,,0.06,0.06,,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.06,0.06,0.06,0.06,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12,freyja_v2.0.0-289,freyja_v2.0.0
305,0.26,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,freyja_v2.0.0-305,freyja_v2.0.0
320,,,,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,,,0.02,0.02,0.02,0.02,,0.02,,0.02,0.02,0.02,0.02,,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.02,,,0.02,0.02,0.02,0.02,0.02,0.02,,,,,,,,,,0.04,freyja_v2.0.0-320,freyja_v2.0.0
335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,freyja_v2.0.0-335,freyja_v2.0.0
350,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,freyja_v2.0.0-350,freyja_v2.0.0
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,freyja_v2.0.0-366,freyja_v2.0.0
